ciudades,nombre_de_la_ciudad,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
Total,,1594,62.1296,0:02:20,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,50,1.3991,0:01:40,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,23,0.5062,0:01:19,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,11,0.8088,0:04:24,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Total,,13062,589.1126,0:02:42,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,738,36.557,0:02:58,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,422,20.2521,0:02:52,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,223,11.1969,0:03:00,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x8589a180655c3345:0x4a72c7815b867b25,Ciudad de Guatemala,141,3.9895,0:01:41,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x915edf0a04f5a40f:0x57dbfc76b4458ab3,La Paz,138,6.6397,0:02:53,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x93f1e81ca7c01a63:0x5c8b0a53a467611b,Santa Cruz de la Sierra,123,3.6136,0:01:45,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x91d59a4002427c9f:0x44b991e158ef5572,Quito,95,3.5807,0:02:15,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
