edad_del_espectador,visualizaciones_(%),duracion_media_de_las_visualizaciones,porcentaje_medio_visto_(%),tiempo_de_visualizacion_(horas)_(%),fecha_publicacion,nombre_video
Entre 25 y 34 años,32.86,0:01:26,17.43,21.14,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Entre 35 y 44 años,34.29,0:03:13,38.9,49.23,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Entre 45 y 54 años,32.86,0:02:01,24.43,29.63,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Entre 18 y 24 años,16.54,0:01:51,13.42,12.19,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Entre 25 y 34 años,33.11,0:02:17,16.52,30.03,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Entre 35 y 44 años,23.85,0:02:47,20.12,26.34,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Entre 45 y 54 años,21.31,0:03:08,22.61,26.45,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Entre 55 y 64 años,5.18,0:02:26,17.56,4.99,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Entre 25 y 34 años,47.62,0:02:58,17.62,34.15,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,52.38,0:05:13,30.89,65.85,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,100.0,0:03:30,51.73,100.0,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Entre 25 y 34 años,100.0,0:02:51,41.83,100.0,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Entre 25 y 34 años,39.06,0:04:42,30.23,45.19,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Entre 35 y 44 años,46.35,0:04:06,26.34,46.73,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Entre 45 y 54 años,14.58,0:02:15,14.48,8.08,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Entre 18 y 24 años,100.0,0:00:32,96.84,100.0,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
Entre 18 y 24 años,7.02,0:02:00,8.21,3.12,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Entre 25 y 34 años,35.62,0:04:04,16.61,31.96,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Entre 35 y 44 años,33.95,0:05:53,24.04,44.07,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Entre 45 y 54 años,23.41,0:04:02,16.48,20.84,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Entre 35 y 44 años,51.92,0:04:24,35.59,61.59,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
Entre 45 y 54 años,48.08,0:02:58,23.97,38.41,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
