estado_de_suscripcion,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
Total,1594,62.1296,0:02:20,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Suscrito,1227,46.0305,0:02:15,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
No suscrito,367,16.0991,0:02:37,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Total,1113,45.2646,0:02:26,20220712,⭐ SOLO HAZ un PAR de TRAZOS para obtener MÚLTIPLES DISEÑOS ▶ TUTORIAL CorelDRAW
Suscrito,720,30.4645,0:02:32,20220712,⭐ SOLO HAZ un PAR de TRAZOS para obtener MÚLTIPLES DISEÑOS ▶ TUTORIAL CorelDRAW
No suscrito,393,14.8001,0:02:15,20220712,⭐ SOLO HAZ un PAR de TRAZOS para obtener MÚLTIPLES DISEÑOS ▶ TUTORIAL CorelDRAW
Total,383,18.098,0:02:50,20220629,⚡ PRUEBA FLEXCLIP 2022  y CREA VIDEOS para YOUTUBE SIN SER EXPERTO ▶ Tutorial
Suscrito,295,13.5543,0:02:45,20220629,⚡ PRUEBA FLEXCLIP 2022  y CREA VIDEOS para YOUTUBE SIN SER EXPERTO ▶ Tutorial
No suscrito,88,4.5438,0:03:05,20220629,⚡ PRUEBA FLEXCLIP 2022  y CREA VIDEOS para YOUTUBE SIN SER EXPERTO ▶ Tutorial
Total,727,22.1841,0:01:49,20210216,🤜🏼💥 ZARA vs MANGO 💥🤛🏼 Enfrento & Comparo ⚔ estas 2 MARCAS ▶ DelcaVideography de DelcaVideography
Suscrito,386,9.9636,0:01:32,20210216,🤜🏼💥 ZARA vs MANGO 💥🤛🏼 Enfrento & Comparo ⚔ estas 2 MARCAS ▶ DelcaVideography de DelcaVideography
No suscrito,341,12.2205,0:02:09,20210216,🤜🏼💥 ZARA vs MANGO 💥🤛🏼 Enfrento & Comparo ⚔ estas 2 MARCAS ▶ DelcaVideography de DelcaVideography
Total,3008,271.1899,0:05:24,20220524,🎇 5 TRUCOS para CREAR DISEÑOS PRO en CorelDRAW ▶ TUTORIAL
Suscrito,1756,159.3431,0:05:26,20220524,🎇 5 TRUCOS para CREAR DISEÑOS PRO en CorelDRAW ▶ TUTORIAL
No suscrito,1252,111.8468,0:05:21,20220524,🎇 5 TRUCOS para CREAR DISEÑOS PRO en CorelDRAW ▶ TUTORIAL
Total,18029,364.9207,0:01:12,20210304,👉 Esto es lo que PUEDES HACER con Corel Draw ▶ DelcaVideography de DelcaVideography
No suscrito,14559,296.6072,0:01:13,20210304,👉 Esto es lo que PUEDES HACER con Corel Draw ▶ DelcaVideography de DelcaVideography
Suscrito,3470,68.3135,0:01:10,20210304,👉 Esto es lo que PUEDES HACER con Corel Draw ▶ DelcaVideography de DelcaVideography
Total,13062,589.1126,0:02:42,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
No suscrito,10592,425.0719,0:02:24,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Suscrito,2470,164.0407,0:03:59,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Total,5227,548.0251,0:06:17,20210223,✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography
No suscrito,2863,289.4751,0:06:03,20210223,✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography
Suscrito,2364,258.5499,0:06:33,20210223,✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography
Total,2181,113.9934,0:03:08,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
No suscrito,1473,73.4252,0:02:59,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Suscrito,708,40.5682,0:03:26,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Total,4061,375.5217,0:05:32,20220531,👉🏼 ASÍ puedes CREAR EFECTOS INCREÍBLES Y COMPLEJOS 😮 en CorelDRAW  ▶ TUTORIAL
Suscrito,2093,191.926,0:05:30,20220531,👉🏼 ASÍ puedes CREAR EFECTOS INCREÍBLES Y COMPLEJOS 😮 en CorelDRAW  ▶ TUTORIAL
No suscrito,1968,183.5956,0:05:35,20220531,👉🏼 ASÍ puedes CREAR EFECTOS INCREÍBLES Y COMPLEJOS 😮 en CorelDRAW  ▶ TUTORIAL
Total,2047,173.0057,0:05:04,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1333,105.4525,0:04:44,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,714,67.5533,0:05:40,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,1322,55.4837,0:02:31,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Suscrito,1046,44.3647,0:02:32,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
No suscrito,276,11.1191,0:02:25,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Total,1880,166.404,0:05:18,20220802,⭐ 5 HERRAMIENTAS INDISPENSABLES para DISEÑAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1259,106.8133,0:05:05,20220802,⭐ 5 HERRAMIENTAS INDISPENSABLES para DISEÑAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,621,59.5907,0:05:45,20220802,⭐ 5 HERRAMIENTAS INDISPENSABLES para DISEÑAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,840,8.3036,0:00:35,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
No suscrito,503,4.9732,0:00:35,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Suscrito,337,3.3304,0:00:35,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Total,796,36.2929,0:02:44,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Suscrito,565,24.3248,0:02:34,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
No suscrito,231,11.9681,0:03:06,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Total,2948,222.2494,0:04:31,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Suscrito,1634,130.1092,0:04:46,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
No suscrito,1314,92.1402,0:04:12,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Total,8981,505.0297,0:03:22,20210426,👉🏼 Conoce las VENTAJAS 💚 & DESVENTAJAS 💔 de Corel Draw ▶ DelcaVideography de DelcaVideography
No suscrito,6345,349.2061,0:03:18,20210426,👉🏼 Conoce las VENTAJAS 💚 & DESVENTAJAS 💔 de Corel Draw ▶ DelcaVideography de DelcaVideography
Suscrito,2636,155.8236,0:03:32,20210426,👉🏼 Conoce las VENTAJAS 💚 & DESVENTAJAS 💔 de Corel Draw ▶ DelcaVideography de DelcaVideography
Total,5494,662.1729,0:07:13,20210405,✅ APRENDE TODO para DIBUJAR en PERSPECTIVA 👉🏼 CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,3490,396.8183,0:06:49,20210405,✅ APRENDE TODO para DIBUJAR en PERSPECTIVA 👉🏼 CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,2004,265.3546,0:07:56,20210405,✅ APRENDE TODO para DIBUJAR en PERSPECTIVA 👉🏼 CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,821,64.7724,0:04:44,20220830,⚡ 3 CONSEJOS CLAVE para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,665,46.9711,0:04:14,20220830,⚡ 3 CONSEJOS CLAVE para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,156,17.8013,0:06:50,20220830,⚡ 3 CONSEJOS CLAVE para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,722,4.5453,0:00:22,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
Suscrito,402,2.5966,0:00:23,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
No suscrito,320,1.9487,0:00:21,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
Total,6466,570.5199,0:05:17,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
No suscrito,3761,294.0456,0:04:41,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Suscrito,2705,276.4743,0:06:07,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Total,951,41.2375,0:02:36,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
Suscrito,741,32.1673,0:02:36,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
No suscrito,210,9.0702,0:02:35,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
Total,10452,197.9181,0:01:08,20210302,👉 Estas son las PRINCIPALES CARACTERÍSTICAS de Corel Draw ▶ DelcaVideography de DelcaVideography
No suscrito,6971,129.4111,0:01:06,20210302,👉 Estas son las PRINCIPALES CARACTERÍSTICAS de Corel Draw ▶ DelcaVideography de DelcaVideography
Suscrito,3481,68.507,0:01:10,20210302,👉 Estas son las PRINCIPALES CARACTERÍSTICAS de Corel Draw ▶ DelcaVideography de DelcaVideography
Total,827,6.4061,0:00:27,20220228,🏃🏼_♂️🚴🏼_♂️ Creación de DISEÑO CREATIVO de LOGOS _ DelcaVideography ▶ Short
No suscrito,477,3.8698,0:00:29,20220228,🏃🏼_♂️🚴🏼_♂️ Creación de DISEÑO CREATIVO de LOGOS _ DelcaVideography ▶ Short
Suscrito,350,2.5362,0:00:26,20220228,🏃🏼_♂️🚴🏼_♂️ Creación de DISEÑO CREATIVO de LOGOS _ DelcaVideography ▶ Short
Total,828,17.2807,0:01:15,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
Suscrito,713,14.7367,0:01:14,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
No suscrito,115,2.5439,0:01:19,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
Total,2344,95.3512,0:02:26,20210601,Cómo CONVERTIR CLIPS DE VIDEO a GIF ANIMADOS usando Vegas PRO
No suscrito,1825,70.2335,0:02:18,20210601,Cómo CONVERTIR CLIPS DE VIDEO a GIF ANIMADOS usando Vegas PRO
Suscrito,519,25.1176,0:02:54,20210601,Cómo CONVERTIR CLIPS DE VIDEO a GIF ANIMADOS usando Vegas PRO
Total,812,57.3606,0:04:14,20220823,⭐ Usa la HERRAMIENTA ORIGEN para OPTIMIZAR tu FLUJO de TRABAJO ▶ CorelDRAW
Suscrito,625,40.9915,0:03:56,20220823,⭐ Usa la HERRAMIENTA ORIGEN para OPTIMIZAR tu FLUJO de TRABAJO ▶ CorelDRAW
