fecha,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,tus_ingresos_estimados_(usd),fecha_publicacion,nombre_video
Total,13062.0,589.1126,0:02:42,12.261,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-11,2.0,0.2711,0:08:07,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-09,1.0,0.0087,0:00:31,0.002,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-06,3.0,0.1516,0:03:01,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-05,2.0,0.2383,0:07:08,0.001,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-04,2.0,0.1063,0:03:11,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-02,1.0,0.123,0:07:22,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-10-01,1.0,0.0042,0:00:15,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-30,2.0,0.4934,0:14:48,0.02,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-29,0.0,0.0,,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-27,3.0,0.5586,0:11:10,0.002,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-23,1.0,0.2322,0:13:55,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-22,1.0,0.001,0:00:03,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-21,2.0,0.0832,0:02:29,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
2022-09-20,1.0,0.0016,0:00:05,0.0,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
