fuente_de_trafico,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,impresiones,porcentaje_de_clics_de_las_impresiones_(%),fecha_publicacion,nombre_video
Total,1594.0,62.1296,0:02:20,67608.0,1.06,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Funciones de exploración,1003.0,34.7777,0:02:04,52805.0,0.9,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Notificaciones,143.0,6.4262,0:02:41,,,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Vídeos sugeridos,132.0,7.4021,0:03:21,2500.0,3.68,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Páginas de canal,112.0,4.6129,0:02:28,7512.0,1.01,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Listas de reproducción,66.0,3.0419,0:02:45,2760.0,1.41,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Fuentes externas,35.0,0.7788,0:01:20,,,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Directa o desconocida,30.0,0.925,0:01:50,,,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Búsqueda de YouTube,28.0,1.402,0:03:00,724.0,2.76,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Otras funciones de YouTube,24.0,1.7657,0:04:24,,,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Página de lista de reproducción,16.0,0.5102,0:01:54,1307.0,1.07,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Pantallas finales,5.0,0.4871,0:05:50,,,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Total,13062.0,589.1126,0:02:42,428666.0,1.16,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
