sexo_del_espectador,visualizaciones_(%),duracion_media_de_las_visualizaciones,porcentaje_medio_visto_(%),tiempo_de_visualizacion_(horas)_(%),fecha_publicacion,nombre_video
Hombre,100.0,0:02:08,25.88,100.0,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Mujer,1.11,0:03:15,23.46,1.43,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Hombre,98.89,0:02:30,18.08,98.57,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Hombre,100.0,0:04:13,42.21,100.0,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Hombre,100.0,0:04:03,24.01,100.0,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:02:47,41.14,100.0,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Hombre,100.0,0:03:01,44.26,100.0,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Hombre,100.0,0:04:09,26.7,100.0,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Hombre,100.0,0:00:28,82.65,100.0,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
Mujer,1.7,0:02:44,11.17,1.04,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Hombre,98.3,0:04:30,18.37,98.96,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Hombre,100.0,0:02:57,23.83,100.0,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
Hombre,100.0,0:00:18,58.17,100.0,20220228,🏃🏼_♂️🚴🏼_♂️ Creación de DISEÑO CREATIVO de LOGOS _ DelcaVideography ▶ Short
Hombre,100.0,0:01:13,37.94,100.0,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
Hombre,100.0,0:04:09,32.33,100.0,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:00:15,75.28,100.0,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
Hombre,100.0,0:02:22,43.73,100.0,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
Hombre,100.0,0:02:27,30.58,100.0,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
Hombre,100.0,0:05:34,18.84,100.0,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
Hombre,100.0,0:04:02,21.88,100.0,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:03:20,30.02,100.0,20220405,✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:01:36,43.21,100.0,20210503,👉 Cómo poner la BARRA de HERRAMIENTAS 🛠 de Corel Draw ▶
