tipo_de_dispositivo,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
Total,1594,62.1296,0:02:20,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Teléfono móvil,949,25.7734,0:01:37,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Ordenador,496,27.0314,0:03:16,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
TV,124,8.3482,0:04:02,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Tablet,25,0.9766,0:02:20,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Total,13062,589.1126,0:02:42,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Teléfono móvil,7232,244.4468,0:02:01,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Ordenador,4345,250.0744,0:03:27,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
TV,1262,80.7715,0:03:50,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Tablet,220,13.3382,0:03:38,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Total,2181,113.9934,0:03:08,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Teléfono móvil,1139,50.6455,0:02:40,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Ordenador,879,49.4073,0:03:22,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
TV,125,11.8076,0:05:40,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Tablet,38,2.133,0:03:22,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Total,2047,173.0057,0:05:04,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Teléfono móvil,1136,69.9476,0:03:41,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Ordenador,744,79.802,0:06:26,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
TV,133,18.8053,0:08:29,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Tablet,33,4.4506,0:08:05,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,1322,55.4837,0:02:31,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Teléfono móvil,841,26.366,0:01:52,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Ordenador,373,20.8556,0:03:21,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
TV,81,6.1623,0:04:33,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Tablet,27,2.0998,0:04:39,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Total,840,8.3036,0:00:35,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Teléfono móvil,739,7.1834,0:00:34,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Ordenador,71,0.8112,0:00:41,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
TV,19,0.1885,0:00:35,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Tablet,11,0.1205,0:00:39,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Total,796,36.2929,0:02:44,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Teléfono móvil,440,17.0316,0:02:19,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Ordenador,300,15.6692,0:03:08,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
TV,41,2.9789,0:04:21,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Tablet,14,0.6126,0:02:37,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Total,2948,222.2494,0:04:31,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
