cant_recomendaciones,densidad_publicitaria,dia_semana,duracion_video_minutos,consecutivo_tema,densidad_recomendacion,porcentaje_de_clics_impresiones_de_2_dias,vistas_2_dias,porc_visualizacion_2d,likes_de_2_dias,dislikes_de_2_dias
3,0.0,3,6.766666666666667,14,0.398,0,677,0.3294074587260297,40,1
3,0.234,1,11.91666666666667,16,0.234,0,1318,0.3086139960191553,92,3
2,0.0,6,3.5,10,0.5,1,455,0.3296703296703297,22,0
3,0.0,3,5.816666666666666,14,0.452,0,432,0.3140703517587938,21,1
3,0.0,1,6.85,16,0.39,0,364,0.342514628228914,19,0
3,0.309,1,18.71666666666667,7,0.154,0,975,0.3198311122839426,61,0
3,0.218,2,9.083333333333334,16,0.327,0,1053,0.3418803418803419,78,1
3,0.228,1,17.28333333333333,4,0.171,1,639,0.2993291819226555,16,0
3,0.173,3,10.76666666666667,10,0.26,0,1107,0.3242633582405188,47,0
3,0.267,1,11.11666666666667,16,0.267,0,803,0.2993226439427814,36,0
3,0.18,1,16.31666666666667,7,0.18,1,635,0.3067552427690026,41,0
3,0.178,1,16.43333333333333,16,0.178,1,785,0.3126809496236248,20,0
3,0.0,1,6.083333333333333,4,0.486,1,634,0.383664421519311,55,0
3,0.304,3,12.58333333333333,14,0.228,0,753,0.4296737102224016,53,0
3,0.0,1,4.383333333333334,7,0.629,0,429,0.3520954569905618,3,1
3,0.41,1,8.883333333333333,7,0.307,0,971,0.3100143056487981,17,0
3,0.0,0,2.933333333333334,16,0.776,0,375,0.4551724137931034,13,0
3,0.0,3,5.466666666666667,7,0.506,0,478,0.3808001504395656,5,0
3,0.0,3,4.433333333333334,7,0.616,0,485,0.3558819375794379,14,0
3,0.24,3,16.33333333333333,16,0.18,0,864,0.2791666666666668,59,0
3,0.245,1,12.11666666666667,14,0.245,0,691,0.2910129063040967,39,0
0,0.0,3,5.366666666666666,6,0.0,0,290,0.2886928628708902,21,0
3,0.314,1,11.86666666666667,7,0.236,0,1078,0.3322033239759493,78,1
3,0.33,3,8.55,11,0.33,0,810,0.2767602767602767,54,0
2,0.0,0,3.716666666666667,7,0.451,0,584,0.4634874858378824,6,0
2,0.0,3,1.333333333333333,8,1.2,0,254,0.4251968503937008,4,0
3,0.0,1,1.783333333333333,1,1.169,0,541,0.4321002472573637,4,0
2,0.0,3,4.583333333333333,7,0.387,0,335,0.4506499759268175,3,0
3,0.0,3,1.85,1,1.111,0,661,0.4370482434022525,7,0
2,0.0,0,4.083333333333333,8,0.48,0,380,0.3789473684210527,3,0
2,0.0,3,4.166666666666667,7,0.462,0,430,0.483005366726297,5,0
3,0.229,1,17.25,4,0.171,0,1037,0.3140928502548561,65,1
3,0.0,0,5.716666666666667,1,0.466,0,784,0.5234218039547426,13,0
3,0.305,2,9.416666666666666,16,0.305,0,656,0.2976436544026457,36,0
2,0.0,0,1.883333333333333,3,0.723,0,826,0.315061699582835,18,0
3,0.0,1,7.883333333333333,16,0.342,0,799,0.299804413311316,32,0
3,0.226,1,17.33333333333333,16,0.17,0,1418,0.3113606727519493,74,0
3,0.233,3,8.3,7,0.349,0,852,0.3766786767114315,56,0
3,0.272,3,11.01666666666667,16,0.272,0,585,0.2974668835696025,27,0
3,0.191,1,9.733333333333333,16,0.287,1,846,0.2913673939558207,50,1
3,0.0,3,6.233333333333333,16,0.464,0,484,0.3450626224759307,33,1
3,0.249,3,8.016666666666667,16,0.373,0,618,0.3021391451476453,31,1
3,0.209,3,8.783333333333333,16,0.314,0,846,0.2891244717918305,43,0
3,0.229,3,8.366666666666667,16,0.344,0,805,0.2987056090275472,34,0
3,0.243,1,8.116666666666667,14,0.364,0,789,0.3232708856082881,56,1
3,0.0,1,5.816666666666666,16,0.452,1,928,0.3606394039161323,46,2
3,0.214,3,8.683333333333334,16,0.32,0,1111,0.2882850562636335,57,0
3,0.091,3,10.48333333333333,10,0.274,0,885,0.2905569007263922,42,0
2,0.0,6,6.7,4,0.27,0,260,0.2806652806652807,9,0
2,0.0,1,4.616666666666667,4,0.382,0,316,0.2902523583004112,9,0
3,0.0,1,6.983333333333333,14,0.377,0,517,0.3350517549751948,34,1
0,0.0,2,1.016666666666667,4,0.0,0,314,0.369837682350524,20,0
0,0.0,4,1.016666666666667,0,0.0,0,389,0.4477983249025625,27,1
0,0.0,5,3.216666666666667,2,0.0,0,511,0.3419907662493112,33,1
3,0.0,3,2.85,17,0.811,1,282,0.2875215641173088,34,0
3,0.0,1,7.15,10,0.411,0,882,0.3541142484391016,51,0
3,0.209,1,14.18333333333333,16,0.209,1,753,0.2828592821290244,61,0
3,0.249,4,8.016666666666667,14,0.373,0,801,0.3356799850808895,51,0
3,0.0,1,6.033333333333333,10,0.495,0,254,0.2725620835857057,6,1
3,0.224,1,16.91666666666667,2,0.168,1,930,0.2821826952065119,63,1
3,0.183,3,9.95,10,0.275,0,721,0.2901169374848897,50,1
3,0.3,3,10.0,13,0.3,0,497,0.3018108651911468,19,0
