cant_recomendaciones,densidad_publicitaria,dia_semana,duracion_video_minutos,consecutivo_tema,densidad_recomendacion,porcentaje_de_clics_impresiones_de_2_dias,vistas_2_dias,porc_visualizacion_2d,likes_de_2_dias,dislikes_de_2_dias
3,0.312,1,11.9,5,0.234,0,268,0.1749067164179105,8,0
3,0.228,1,35.03333333333333,4,0.086,0,672,0.2164244975556762,34,1
2,0.28,2,9.85,8,0.187,0,728,0.238779911677108,12,0
3,0.168,1,17.41666666666667,2,0.168,1,467,0.259360803698293,47,0
3,0.249,1,12.03333333333333,5,0.249,0,580,0.162888169175081,2,0
3,0.194,1,19.81666666666667,10,0.145,1,931,0.2529980617363857,70,1
3,0.212,1,22.76666666666667,4,0.127,1,754,0.2434607494683689,75,1
3,0.392,1,10.1,7,0.294,0,554,0.2654491399447866,7,0
0,0.231,2,12.48333333333333,5,0.0,0,235,0.2165946507684735,19,0
3,0.157,1,18.56666666666667,4,0.157,2,1112,0.2368836638006668,58,0
3,0.167,0,47.43333333333333,16,0.063,0,666,0.1505683956937439,16,0
3,0.252,0,23.4,16,0.126,0,649,0.1864536261345833,6,0
3,0.19,0,21.0,7,0.143,0,342,0.2172096908939014,6,0
2,0.198,1,24.65,12,0.079,0,722,0.2463512640557083,15,0
3,0.168,1,17.45,10,0.168,1,758,0.2432157544847512,52,0
3,0.297,3,12.73333333333333,4,0.223,0,991,0.2202995274300387,69,1
3,0.192,3,19.9,2,0.144,0,883,0.2254116212213607,50,0
3,0.251,3,10.96666666666667,16,0.251,0,1585,0.1522654776800663,72,0
3,0.221,3,31.33333333333333,16,0.095,0,1959,0.1199322962843556,84,1
3,0.328,3,17.65,10,0.164,0,1723,0.1560374109207159,3,0
3,0.205,1,23.66666666666667,11,0.123,0,1660,0.09060901138801782,40,0
3,0.227,3,16.81666666666667,10,0.17,0,1415,0.2043992598876472,73,1
3,0.219,1,12.85,16,0.219,0,972,0.2568261692349284,49,1
3,0.21,1,37.51666666666667,16,0.079,0,966,0.2123015116956359,60,1
3,0.157,3,24.71666666666667,16,0.118,0,1653,0.1241636200593226,52,1
3,0.208,1,23.5,10,0.125,0,911,0.2222832052689352,34,0
3,0.175,3,16.58333333333333,4,0.175,0,1045,0.2274353137919822,62,0
3,0.239,2,19.95,4,0.144,1,915,0.1882500588281434,61,0
3,0.194,1,19.81666666666667,7,0.145,1,823,0.2543984830312678,32,0
3,0.174,1,22.48333333333333,14,0.131,1,616,0.254462518613462,46,0
3,0.149,1,20.08333333333333,4,0.149,1,1183,0.2464668198933933,86,0
3,0.172,1,16.73333333333333,7,0.172,1,507,0.2371380821175301,36,0
3,0.0,1,5.533333333333333,7,0.495,0,292,0.2032214360981484,5,0
3,0.227,0,17.3,8,0.17,0,1928,0.2192568841946436,31,1
3,0.194,1,19.78333333333333,15,0.146,0,1013,0.2620711944078679,23,0
3,0.22,1,12.83333333333333,4,0.22,0,1082,0.251566656147153,76,1
3,0.243,3,16.23333333333333,5,0.182,0,435,0.2094094653078319,21,0
0,0.0,2,21.0,2,0.0,0,473,0.01208094231350045,17,1
2,0.0,1,1.816666666666667,5,0.759,0,417,0.273199162189236,13,0
3,0.0,1,4.933333333333334,14,0.511,0,665,0.2768284347231715,19,0
3,0.182,1,15.75,16,0.182,0,603,0.1809136137494346,17,0
3,0.233,3,8.283333333333333,10,0.35,0,807,0.2690466202826435,41,0
3,0.195,3,20.26666666666667,16,0.146,0,448,0.169584879406308,21,2
3,0.197,1,19.65,16,0.148,0,945,0.150129017124091,36,1
3,0.189,3,10.3,16,0.283,0,503,0.2813308826287557,25,0
3,0.203,1,9.433333333333334,2,0.304,1,766,0.2619786888716393,27,2
3,0.156,1,12.4,9,0.234,0,596,0.196623322147651,27,1
3,0.199,1,24.53333333333333,10,0.12,0,2578,0.2107645709192348,106,0
3,0.181,1,16.26666666666667,10,0.181,0,1153,0.2045855132473492,46,0
2,0.176,1,21.83333333333333,4,0.088,0,339,0.1639770952628839,11,0
2,0.0,3,4.883333333333333,4,0.347,0,256,0.2845014450867052,6,1
3,0.0,1,7.733333333333333,5,0.354,0,420,0.1856017997750281,7,0
3,0.255,3,15.35,16,0.191,0,1578,0.2421835266765154,73,0
2,0.195,3,30.41666666666667,9,0.065,0,476,0.1226436520554168,26,0
3,0.207,1,33.41666666666666,16,0.089,0,843,0.2229896744561121,35,0
3,0.193,1,20.36666666666667,10,0.145,0,1516,0.2557924475477013,64,1
3,0.203,1,13.9,16,0.203,0,2239,0.1810653887473896,81,0
3,0.317,3,12.3,16,0.238,0,1437,0.2684163435729198,87,1
3,0.228,3,16.78333333333333,10,0.171,0,1611,0.2289760741204032,13,0
3,0.238,3,20.51666666666667,10,0.143,0,1107,0.2061510313993789,56,1
3,0.186,1,15.58333333333333,16,0.186,0,1096,0.2776732636014749,70,1
